,sid_sens,fastrate,temp0,temp_thresh
1.22,3.649796499041035e-05,20.03921788128997,2.104031446360813,2.1861827439021595
2.22,8.797506734414552e-05,9.281979331365518,1.2398007199380903,2.3932537423787084
3.22,6.063374607454568e-05,7.792551177456442,1.399065791870683,2.2962321085806883
4.22,8.624536167572809e-05,10.311292308558194,1.2259909711475765,2.0377237311543404
5.22,6.384043978234152e-05,4.5126326465026505,2.4633577555407298,2.8442019237735314
6.22,5.761698642579287e-05,7.964681686908841,1.2408746065438847,2.2831686494938106
7.22,8.041755745110161e-05,10.572119686922644,0.9332647132797574,2.489720716425881
8.22,5.6283990594585414e-05,6.467006830167151,2.335936590232043,3.0846836550753314
9.22,5.611961556622841e-05,7.143790956419603,1.048523577800353,2.4857967445263687
10.22,8.102145900176601e-05,8.929621290534751,0.8470756339011855,2.4801762078949734
11.22,5.8321554099581674e-05,4.558165516078583,2.209326398416156,2.1866082223903844
12.22,5.185359267081522e-05,7.240402105631589,0.7702484459694603,2.129312800000278
13.22,7.7708360681994e-05,9.985620960793984,0.7871600940362844,2.0468064101271244
14.22,4.928911275832767e-05,8.48748781163782,2.1888114861703185,3.177832336100148
15.22,4.946326200594451e-05,7.84390685551492,0.6685784394903554,2.297930855014884
16.22,7.356178445925466e-05,10.55208831245375,0.5847320110486169,2.3744551521856616
17.22,4.149427642569122e-05,3.385886902737015,0.8489521041717732,2.7419553604257154
18.22,4.549240295552305e-05,7.565096928043353,5.046639592152547e-12,2.9680909628992165
19.22,7.24770031718294e-05,5.495240610579263,5.463819224128906e-15,1.9159606999999814
20.22,3.9732347526530155e-05,3.026350445144015,0.6514027943303146,2.3396676292902168
21.22,6.948836311093925e-05,7.522402369143465,0.006967505998740485,1.8691276276503834
22.22,3.8954226422596404e-05,2.9660029793311207,0.5544019659823287,2.403640737665092
23.22,3.296560473263888e-05,1.7182044530415188e-13,2.7068354064667136e-14,2.9269644159529555
24.22,3.2965604732638375e-05,1.6534761758267656e-14,5.7708194139163704e-15,3.1751047510359847
25.22,3.879365407908761e-05,1.8251888123142999e-13,1.6222925878647696e-14,3.242411527308816
26.22,4.23756785918857e-05,1.6731049075821074,0.05744526223450577,0.0019610166828044895
27.22,4.272028275060784e-05,2.120620410822519,1.0545686668391345,0.002517290587163018
28.22,4.134575119663615e-05,2.033528304403351,0.9261881164429488,0.0015780499909790007
29.22,4.191635531283898e-05,2.0736395915954215,0.9770499117539985,0.003154646439480712
