observation,independent_param,dependent_param
church11,0.05,144.95263414593447
church11,0.07,210.3218428163478
church11,0.09,275.7267466692656
church11,0.11,341.14478744253705
church11,0.13,406.5689726633218
church11,0.15,471.9964382137265
church11,0.17,537.4258844472203
church11,0.19,602.8565923827886
church11,0.21,668.2881560591482
angelen14,0.05,99.72357672064393
angelen14,0.07,147.22400871768295
angelen14,0.09,194.75381689033088
angelen14,0.11,242.29193937627275
angelen14,0.13,289.83298609954846
angelen14,0.15,337.37527680433976
angelen14,0.17,384.9181112960212
angelen14,0.19,432.46118579506987
angelen14,0.21,480.0043720729407
box_colgan13,0.05,189.98772495921938
box_colgan13,0.07,282.2606561764149
box_colgan13,0.09,374.4121199324561
box_colgan13,0.11,466.5072049965528
box_colgan13,0.13,558.5717871004734
box_colgan13,0.15,650.6180611368517
box_colgan13,0.17,742.6524955377031
box_colgan13,0.19,834.6788365935695
box_colgan13,0.21,926.6994215650698
